Resource,Total Price to Control 2% in ETH,Number of Plots Needed for 2% Control,Plot IDs for Sale,Rarity Ranking (Lowest is Rarest),Total Number of Resource on All Plots,Type
Bubonium,5.23,5,"99712,21571,23726,17828,83869",19,299,Ore
Durinia,6.68,5,"61940,11511,61033,73996,80949",8,228,Anima
Abyssia,7.21,6,"59154,28387,90960,77951,5232,52457",16,263,Anima
Amberskull,8.14,6,"89414,59840,64260,26599,80199,5491",18,278,Ore
Sporicite,8.37,4,"68761,27990,75418,76404",5,189,Anima
Sulfirica,10.24,9,"21177,14948,45467,47419,45281,18446,82549,69032,59074",40,445,Anima
Galactica,10.33,4,"56222,68096,71163,71487",4,173,Anima
Entradium,10.68,6,"66994,27660,51757,91058,8378,7246",15,260,Ore
Rotworth,10.7,6,"88870,48988,17828,80214,83071,9297",26,337,Anima
Fortuna,11.36,11,"65303,78995,20617,18207,56996,73710,90235,57427,98397,86664,80600",47,511,Anima
Fossica,11.85,6,"10991,12869,83313,79320,16507,76316",17,277,Anima
Steppesalt,11.85,11,"77808,69713,76351,17306,61815,73149,65226,14817,25319,59493,8509",49,539,Anima
Chlorocite,12.24,10,"26751,90961,94611,18883,18446,50637,66396,47101,88655,88857",42,451,Ore
Geopillar,12.61,8,"65242,93610,28095,70349,12647,88971,55117,50308",30,352,Ore
Opalia,12.97,8,"47915,13655,15579,13219,18302,94529,80489,61180",32,366,Anima
Claymer,13.03,12,"90270,21425,63415,90560,20589,1609,23266,70995,85539,59498,8509,1020",51,574,Ore
Tantalite,13.13,10,"69940,96924,56996,65432,97751,54770,65090,86664,25881,4538",48,521,Ore
Duskia,13.5,11,"65811,76123,74851,74565,17626,45940,15926,71520,94730,4225,63570",52,587,Anima
Chroma,13.66,10,"17304,83027,64101,66943,5247,2495,14673,60993,78346,84652",45,485,Ore
Element 115,14.28,5,"72205,10333,2878,96995,11869",9,229,Anima
Pyrum,14.76,7,"77077,96938,23608,83612,61618,7992,80496",36,378,Ore
Nucleod,15.48,5,"7006,52556,96283,65245,95969",10,238,Ore
Mallo,15.74,7,"79156,48041,47947,28212,9814,74137,22117",34,372,Ore
Obsilica,15.86,9,"78376,88244,61851,71871,7523,81434,27407,6827,16969",39,440,Anima
Hollowcine,15.94,9,"25034,89957,14576,48609,7523,14576,60413,52722,58313",41,447,Ore
Scholara,16.68,7,"28597,60202,45718,69422,71396,15750,23606",28,348,Anima
Slushia,17.25,14,"91294,61594,12073,73051,19937,80090,48487,58322,67108,52569,75489,6368,4944,6382",56,667,Anima
Shatterfrost,17.85,15,"77300,12733,54839,88542,88101,61191,58322,50535,64903,19798,75015,69537,91890,8148,19525",58,725,Ore
Pricklia,18.64,8,"81882,95453,5101,99726,4773,55118,45518,28708",31,354,Anima
Senticybia,19.33,6,"59551,7246,88984,33029,28851,76995",13,257,Anima
Gloomia,19.54,6,"21793,65506,63276,90817,72133,4675",14,258,Anima
Magentia,22.26,7,"26638,49216,77974,70249,64391,94942,81288",27,339,Anima
Vaporhaze,24.01,14,"55695,46371,52630,9716,88585,20789,52131,79928,11219,26583,61654,3947,65160,90508",55,663,Ore
Phantom,26.25,6,"62451,74797,13794,51117,71681,88266",12,255,Ore
Slaglia,28.09,13,"75772,74431,563,68682,14790,9907,4479,3075,62341,58521,77809,47904,73003",53,601,Anima
Omni,29.1,7,"98022,90461,47365,12999,54278,99681,88272",23,308,Shard
Aurelian,30.13,5,"67229,82347,71142,90841,58695",7,202,Ore
Prysmatica,30.18,10,"70495,60207,13053,53794,75942,5944,16094,86766,90366,14337",43,456,Anima
Thermodite,32.02,13,"65837,80356,11166,46443,16390,83861,22932,69895,69782,21223,61702,83120,7928",54,624,Ore
Lapidite,32.66,4,"10822,18650,65719,82303",6,196,Ore
Dimensional,46.97,4,"16443,92419,80144,74759",1,152,Ore
Fragmentia,47.94,4,"88966,46431,53028,1930",2,166,Anima
Degradia,62.41,7,"27928,87839,61417,7251,77746,66757,53428",21,303,Anima
Entropy,82.47,6,"82845,6918,99402,11077,2774,2311",24,331,Ore
Void,174.62,7,"55232,53246,71681,55330,47774,83735,47756",35,377,Root
Moldium,279.72,214,"62205,23521,97909,86162,97520,85374,10406,68184,10836,80657,91477,68043,17785,55439,57115,47822,77252,11202,63089,68052,12871,61571,62125,97970,15985,69837,88230,47915,21256,56859,55150,52251,65811,26964,72099,95656,82671,77239,99321,81183,61403,45711,93532,65242,61777,45487,61273,83755,70153,78663,92701,2250,75517,79751,81941,76781,25371,53172,22163,86321,46061,64101,10683,80311,16776,49888,92054,90540,22420,21308,59154,16109,18207,58717,86609,83065,19328,30140,88692,83861,2949,88870,52080,11633,5259,22954,71958,8761,61815,9716,97275,26391,45467,14576,47419,20789,11401,55069,59151,99530,19529,27589,70349,10052,62268,75940,563,68148,80350,65432,77511,1182,23293,97151,18446,60830,10685,2974,1455,91520,77977,50419,95513,77974,68733,55058,25948,800,13762,78883,8898,85335,97937,51140,84907,93695,58178,61597,97248,96253,51795,17612,4417,69044,4063,71457,19837,97485,85214,94623,2417,11071,18406,66885,7605,63227,27407,74292,12602,14576,19793,76245,754,25702,92656,50173,80600,17508,28406,83612,5491,78262,55121,79045,53478,95740,22231,26037,87128,67058,51825,61618,45127,65506,92372,97435,98442,84865,93634,72426,66235,13296,16016,65249,45963,21558,2878,7577,1753,82972,21487,56133,17594,49557,60898,62384,50964,92310,80299,86250,60330,66785,98666,89224",68,11171,Shard
