Resource,Total Price to Control 1% in ETH,Number of Plots Needed for 1% Control,Plot IDs for Sale,Rarity Ranking (Lowest is Rarest),Total Number of Resource on All Plots,Type
Bubonium,2.11,3,"99712,21571,23726",19,299,Ore
Abyssia,2.7,3,"59154,28387,90960",16,263,Anima
Amberskull,2.74,3,"89414,59840,64260",18,278,Ore
Entradium,3.04,3,"66994,27660,51757",15,260,Ore
Opalia,3.2,4,"47915,13655,15579,13219",32,366,Anima
Rotworth,3.25,3,"88870,48988,17828",26,337,Anima
Geopillar,3.34,4,"65242,93610,28095,70349",30,352,Ore
Pricklia,3.44,4,"81882,95453,5101,99726",31,354,Anima
Sporicite,3.57,2,"68761,27990",5,189,Anima
Durinia,3.61,3,"61940,11511,61033",8,228,Anima
Chlorocite,3.62,5,"26751,90961,94611,18883,18446",42,451,Ore
Chroma,3.71,5,"17304,83027,64101,66943,5247",45,485,Ore
Claymer,3.75,6,"90270,21425,63415,90560,20589,1609",51,574,Ore
Fossica,3.75,3,"10991,12869,83313",17,277,Anima
Steppesalt,3.88,6,"77808,69713,76351,17306,61815,73149",49,539,Anima
Mallo,4.04,4,"79156,48041,47947,28212",34,372,Ore
Slushia,4.21,7,"91294,61594,12073,73051,19937,80090,48487",56,667,Anima
Fortuna,4.26,6,"65303,78995,20617,18207,56996,73710",47,511,Anima
Duskia,4.3,6,"65811,76123,74851,74565,17626,45940",52,587,Anima
Galactica,4.49,2,"56222,68096",4,173,Anima
Sulfirica,4.63,5,"21177,14948,45467,47419,45281",40,445,Anima
Magentia,4.81,4,"26638,49216,77974,70249",27,339,Anima
Luminite,4.94,3,"80167,62530,66120",22,307,Ore
Brineslime,5.0,5,"70557,1182,85110,24293,51246",44,477,Ore
Thermodite,5.1,7,"65837,80356,11166,46443,16390,83861,22932",54,624,Ore
Hollowcine,5.25,5,"25034,89957,14576,48609,7523",41,447,Ore
Element 115,5.28,3,"72205,10333,2878",9,229,Anima
Nebula,5.38,6,"45558,60040,79262,19303,52131,60830",57,667,Anima
Pyrum,5.51,4,"77077,96938,23608,83612",36,378,Ore
Etheria,5.58,4,"51955,58321,62468,25626",20,302,Anima
Tantalite,5.63,6,"69940,96924,56996,65432,97751,54770",48,521,Ore
Coralia,5.74,5,"79932,47350,98913,20460,19109",46,486,Anima
Vaporhaze,5.85,7,"55695,46371,52630,9716,88585,20789,52131",55,663,Ore
Nucleod,6.37,3,"7006,52556,96283",10,238,Ore
Mossmoon,6.37,8,"88589,54231,18067,2594,78681,97151,77796,51599",60,772,Ore
Scholara,6.44,4,"28597,60202,45718,69422",28,348,Anima
Shatterfrost,6.52,8,"77300,12733,54839,88542,88101,61191,58322,50535",58,725,Ore
Gloomia,6.64,3,"21793,65506,63276",14,258,Anima
Lapidite,6.76,2,"10822,18650",6,196,Ore
Obsilica,6.96,5,"78376,88244,61851,71871,7523",39,440,Anima
Prysmatica,7.03,5,"70495,60207,13053,53794,75942",43,456,Anima
Tanglevine,7.03,4,"75798,63870,22176,62384",25,337,Ore
Senticybia,7.25,3,"59551,7246,88984",13,257,Anima
Stonecrop,7.68,2,"70830,7637",3,168,Ore
Nocturna,7.87,6,"74851,17311,65416,15926,94730,19969",50,542,Ore
Slaglia,8.9,7,"75772,74431,563,68682,14790,9907,4479",53,601,Anima
Fragmentia,8.95,2,"88966,46431",2,166,Anima
Phantom,9.95,3,"62451,74797,13794",12,255,Ore
Glowpod,10.04,5,"72403,69949,12602,92015,21487",37,409,Anima
Maltosia,10.52,4,"12797,49793,48803,87606",33,366,Anima
Omni,11.3,4,"98022,90461,47365,12999",23,308,Shard
Entropy,12.5,4,"82845,6918,99402,11077",24,331,Ore
Scumbria,13.24,8,"31492,68481,25948,67492,5803,74457,6940,21011",59,749,Anima
Aurelian,14.25,3,"67229,82347,71142",7,202,Ore
Dimensional,14.99,2,"16443,92419",1,152,Ore
Degradia,16.46,4,"27928,87839,61417,7251",21,303,Anima
Void,23.93,4,"55232,53246,71681,55330",35,377,Root
Onyx,48.09,3,"22328,73310,67537",11,248,Ore
Bonestone,69.69,106,"83409,57757,47092,85374,10653,72013,49445,45131,48728,60250,80663,24099,60760,81983,73589,71926,89473,68552,15129,51833,57482,26751,64901,59999,48742,69713,55448,22641,95391,95858,98839,99182,82083,76987,81562,18067,20857,19899,26490,70820,77638,46371,79295,78995,30259,50757,61273,72223,83755,46230,22937,57918,28481,49002,14017,79751,27108,95108,52759,25371,20617,47230,76127,94491,25034,80090,30871,89414,92054,92057,7277,84248,99006,21273,1928,95310,67774,47983,78502,86609,19620,18883,66994,63743,88692,84155,52080,80982,57527,46179,83534,10933,96173,52114,7283,66649,67524,51830,79973,10604,64395,48809,95423,95460,56225,71520",69,11238,Shard
